organ,col name,mean,min,max,std,range
BronchialTree,V60.0 dosevol/volume,nan,nan,nan,nan,nan
BronchialTree,V65.0 dosevol,nan,nan,nan,nan,nan
BronchialTree,V65.0 dosevol/volume,nan,nan,nan,nan,nan
BronchialTree,V70.0 dosevol,nan,nan,nan,nan,nan
BronchialTree,V70.0 dosevol/volume,nan,nan,nan,nan,nan
BronchialTree,V75.0 dosevol,nan,nan,nan,nan,nan
BronchialTree,V75.0 dosevol/volume,nan,nan,nan,nan,nan
CW,MinDose,0.08287122683600001,0.0,0.45791034,0.09332722304304208,0.45791034
CW,MaxDose,51.823055282368,14.89395649,90.49811066,19.51570667756419,75.60415416999999
CW,MeanDose,5.931359240844109,2.026853192,13.30212992,2.485148781065465,11.275276728000001
CW,TotalVolume (cm^3),828.587625,300.484375,1234.53125,193.72977351525654,934.046875
CW,IntegralDose,4654.372889536086,1839.745343,10452.21871,1696.941814133197,8612.473366999999
CW,VolumeOverlap,360.9433125,52.515625,640.375,104.4747325559935,587.859375
CW,FractionOverlap,0.8638421907687539,0.231489772,1.0,0.11954204473037817,0.768510228
CW,DminFromPTV (mm),8.018990888973914,0.0,36.99662147,9.57845803993043,36.99662147
CW,CM Distance (mm),36.253020408163266,1.74,87.55,20.874634105451214,85.81
CW,Max_sqrt(grad(Dose)*Dose)_1,15.710801350712229,5.730547162,32.2284193,6.687008917370143,26.497872137999998
CW,Max1_Dose,31.396323711366904,9.73097287,62.82356102,13.678682098625572,53.09258815
CW,Max_sqrt(grad(Dose)*Dose)_2,15.206086821633095,5.598647565,31.87937326,6.453864285227169,26.280725695
CW,Max2_Dose,30.608069914892088,8.14913586,63.7050083,12.751311872393636,55.55587244
CW,Max_sqrt(grad(Dose)*Dose)_3,14.858348501352518,5.585935071,31.31812523,6.383228883929972,25.732190158999998
CW,Max3_Dose,30.574886043381294,10.03047622,63.7050083,12.712063035545514,53.674532080000006
CW,Max_sqrt(grad(Dose)*Dose)_4,14.582477360352518,5.583213159,31.31389757,6.2465244139125735,25.730684411000002
CW,Max4_Dose,30.789875647553952,9.72342535,58.01168058,12.855525012630645,48.28825523
CW,Max_sqrt(grad(Dose)*Dose)_5,14.343087803812947,5.43196558,31.28850967,6.21203610890265,25.85654409
CW,Max5_Dose,29.90287976194245,9.29222424,64.13206382,13.144070368831377,54.83983958
CW,V1.0 dosevol,466.664375,211.234375,790.75,125.40358734796357,579.515625
CW,V1.0 dosevol/volume,0.5753315010056421,0.298386011,0.913143048651064,0.13717647774824554,0.614757037651064
CW,V2.0 dosevol,397.9288125,165.828125,674.359375,108.04727503902443,508.53125
CW,V2.0 dosevol/volume,0.4911817178886593,0.203356618,0.7929955873317321,0.12019743940083508,0.5896389693317321
CW,V5.0 dosevol,293.5835625,122.859375,524.46875,89.57235783904984,401.609375
CW,V5.0 dosevol/volume,0.3689742037367746,0.106883615,0.6525562851782364,0.12019650797206398,0.5456726701782364
CW,V10.0 dosevol,172.0976875,13.640625,422.890625,83.37933445247077,409.25
CW,V10.0 dosevol/volume,0.2216004070882894,0.012356163,0.480125807,0.11318455491421359,0.46776964400000004
CW,V15.0 dosevol,90.858125,0.0,283.21875,56.91482658546465,283.21875
CW,V15.0 dosevol/volume,0.11833570007082383,0.0,0.324277425,0.07798190167073783,0.324277425
CW,V20.0 dosevol,50.4231875,0.0,177.328125,39.5934345751015,177.328125
CW,V20.0 dosevol/volume,0.06689378481627428,0.0,0.233357035,0.05747658770793216,0.233357035
CW,Arm,nan,nan,nan,nan,nan
CW,arm,1.516,1,2,0.5007464307928786,1
CW,Arm ,nan,nan,nan,nan,nan
CW,V50.0 dosevol,nan,nan,nan,nan,nan
CW,V50.0 dosevol/volume,nan,nan,nan,nan,nan
CW,V55.0 dosevol,nan,nan,nan,nan,nan
CW,V55.0 dosevol/volume,nan,nan,nan,nan,nan
CW,V60.0 dosevol,nan,nan,nan,nan,nan
CW,V60.0 dosevol/volume,nan,nan,nan,nan,nan
CW,V65.0 dosevol,nan,nan,nan,nan,nan
CW,V65.0 dosevol/volume,nan,nan,nan,nan,nan
CW,V70.0 dosevol,nan,nan,nan,nan,nan
CW,V70.0 dosevol/volume,nan,nan,nan,nan,nan
CW,V75.0 dosevol,nan,nan,nan,nan,nan
CW,V75.0 dosevol/volume,nan,nan,nan,nan,nan
Esophagus,MinDose,0.17505222999599998,0.032164,0.50143918,0.10008094958303851,0.46927518
Esophagus,MaxDose,10.827386373456,1.4990624,52.79673104,8.361883126803024,51.29766864
Esophagus,MeanDose,2.9216088152503734,0.473140632,10.19880128,1.8764647580396638,9.725660648
Esophagus,TotalVolume (cm^3),23.1029375,6.375,44.703125,7.7642145250369285,38.328125
Esophagus,IntegralDose,63.017718114697125,15.71669311,287.0069244,43.0778048050795,271.29023129
Esophagus,VolumeOverlap,7.084969008264463,0.0,19.28125,3.6573084659258415,19.28125
Esophagus,FractionOverlap,0.7336090821072433,0.0,1.0,0.18717924492536017,1.0
Esophagus,DminFromPTV (mm),51.82122851727167,0.0,104.013220313574,21.925452396919955,104.013220313574
Esophagus,CM Distance (mm),79.32293388429753,17.94,133.41,22.784525743326494,115.47
Esophagus,Max_sqrt(grad(Dose)*Dose)_1,3.7833175687613894,0.785268472,11.004593,2.1942770364434603,10.219324528
Esophagus,Max1_Dose,8.571010678316457,1.2071759,29.26415655,5.513527630051162,28.05698065
